Squad,defense_# Pl,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,defense_Season,keeper_# Pl,keeper_MP,keeper_Starts,keeper_Min,keeper_90s,keeper_GA,keeper_GA90,keeper_SoTA,keeper_Saves,keeper_Save%,keeper_W,keeper_D,keeper_L,keeper_CS,keeper_CS%,keeper_PKatt,keeper_PKA,keeper_PKsv,keeper_PKm,keeper_Save%.1,keeper_Season,league_Rank,league_MP,league_W,league_D,league_L,league_GF,league_GA,league_GD,league_Pts,league_Pts/MP,league_xG,league_xGA,league_xGD,league_xGD/90,league_Attendance,league_Season,passing_# Pl,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Season,shooting_# Pl,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,shooting_Season,standard_# Pl,standard_Age,standard_Poss,standard_MP,standard_Starts,standard_Min,standard_90s,standard_Gls,standard_Ast,standard_G+A,standard_G-PK,standard_PK,standard_PKatt,standard_CrdY,standard_CrdR,standard_xG,standard_npxG,standard_xAG,standard_npxG+xAG,standard_PrgC,standard_PrgP,standard_Gls.1,standard_Ast.1,standard_G+A.1,standard_G-PK.1,standard_G+A-PK,standard_xG.1,standard_xAG.1,standard_xG+xAG,standard_npxG.1,standard_npxG+xAG.1,standard_Season,Season,League,GK_SaveImpact,GK_PenaltyImpact
Union Berlin,28,34.0,538,296,266,223,49,268,568,47.2,300,322,90,232,376,914,657,7,2021-2022,2,34,34,"3,060",34.0,44,1.29,122,82,65.6,16,9,9,8,23.5,2,2,0,0,0.0,2021-2022,5,34,16,9,9,50,44,6,57,1.68,47.0,38.5,8.5,0.25,"14,046",2021-2022,28,34.0,10673,14818,72.0,204003,82846,4154,5080,81.8,4744,5871,80.8,1458,2914,50.0,33,31.5,31.7,1.5,299,815,248,111,1123,2021-2022,28,34.0,50,408,149,36.5,12.0,4.38,0.11,0.3,16.2,7,5,5,47.0,43.3,0.11,3.0,1.7,2021-2022,28,28.3,43.7,34,374,"3,060",34.0,50,33,83,45,5,5,62,1,47.0,43.3,31.5,74.8,429,1123,1.47,0.97,2.44,1.32,2.29,1.38,0.93,2.31,1.27,2.2,2021-2022,2021-2022,Bundesliga,3.156792937124305,0.0
Wolfsburg,30,34.0,539,298,278,201,60,257,540,47.6,283,388,103,285,388,927,740,9,2021-2022,2,34,34,"3,060",34.0,54,1.59,156,101,67.9,12,6,16,11,32.4,7,4,2,1,33.3,2021-2022,12,34,12,6,16,43,54,-11,42,1.24,47.7,47.3,0.4,0.01,"12,018",2021-2022,30,34.0,12596,16439,76.6,238876,90051,4894,5882,83.2,5811,6785,85.6,1568,2774,56.5,25,33.8,38.8,-8.8,295,862,253,69,1220,2021-2022,30,34.0,42,416,137,32.9,12.24,4.03,0.09,0.28,17.9,19,3,4,47.7,44.9,0.11,-5.7,-5.9,2021-2022,30,26.0,50.5,34,374,"3,060",34.0,42,25,67,39,3,4,61,3,47.7,44.9,33.8,78.7,502,1220,1.24,0.74,1.97,1.15,1.88,1.4,1.0,2.4,1.32,2.31,2021-2022,2021-2022,Bundesliga,3.433190901831501,0.5359428248405553
Augsburg,34,34.0,522,299,251,202,69,232,479,48.4,247,428,125,303,286,808,755,14,2022-2023,2,34,34,"3,060",34.0,63,1.85,201,138,69.2,9,7,18,6,17.6,4,1,2,1,66.7,2022-2023,15,34,9,7,18,42,63,-21,34,1.0,34.7,58.7,-23.9,-0.7,"27,956",2022-2023,34,34.0,8422,12742,66.1,169408,75215,3104,4032,77.0,3844,5050,76.1,1253,2819,44.4,29,24.3,24.6,4.7,240,662,191,44,847,2022-2023,34,34.0,41,354,101,28.5,10.41,2.97,0.1,0.37,18.2,14,4,5,34.7,30.9,0.09,6.3,6.1,2022-2023,34,25.9,41.7,34,374,"3,060",34.0,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.21,0.85,2.06,1.09,1.94,1.02,0.71,1.74,0.91,1.62,2022-2023,2022-2023,Bundesliga,3.6733212466016343,0.4623291694334835
Bayern Munich,28,34.0,623,387,263,258,102,287,538,53.3,251,381,77,304,287,910,477,19,2022-2023,3,34,34,"3,060",34.0,38,1.12,107,68,72.9,21,8,5,11,32.4,10,9,1,0,10.0,2022-2023,1,34,21,8,5,92,38,54,71,2.09,75.0,37.1,37.8,1.11,"75,000",2022-2023,28,34.0,19404,22716,85.4,335478,115394,8781,9678,90.7,8580,9490,90.4,1653,2553,64.7,67,56.6,63.6,10.4,488,1561,474,70,2041,2022-2023,28,34.0,90,625,251,40.2,18.38,7.38,0.14,0.35,16.7,10,3,5,75.0,71.0,0.12,15.0,16.0,2022-2023,28,26.6,64.2,34,374,"3,060",34.0,90,67,157,87,3,5,49,3,75.0,71.0,56.6,127.7,863,2041,2.65,1.97,4.62,2.56,4.53,2.2,1.67,3.87,2.09,3.75,2022-2023,2022-2023,Bundesliga,3.413273664573557,0.2302585092994046
Bochum,26,34.0,626,386,301,247,78,310,635,48.8,325,402,118,284,337,963,776,13,2022-2023,1,34,34,"3,060",34.0,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3,2022-2023,14,34,10,5,19,40,72,-32,35,1.03,40.0,65.7,-25.7,-0.76,"25,318",2022-2023,26,34.0,9209,13549,68.0,185905,86106,3742,4704,79.5,3734,4954,75.4,1534,3145,48.8,28,28.4,31.4,-0.4,289,856,225,73,1022,2022-2023,26,34.0,37,397,127,32.0,11.68,3.74,0.09,0.27,18.1,11,3,3,40.0,37.7,0.1,-3.0,-3.7,2022-2023,26,29.4,46.1,34,374,"3,060",34.0,37,28,65,34,3,3,64,1,40.0,37.7,28.4,66.0,350,1022,1.09,0.82,1.91,1.0,1.82,1.18,0.83,2.01,1.11,1.94,2022-2023,2022-2023,Bundesliga,3.6062473374801716,0.599842309612788
Dortmund,30,34.0,580,334,246,241,93,287,551,52.1,264,382,95,287,298,878,491,9,2022-2023,2,34,34,"3,060",34.0,44,1.29,151,108,71.5,22,5,7,12,35.3,1,1,0,0,0.0,2022-2023,2,34,22,5,7,83,44,39,71,2.09,71.1,43.2,27.9,0.82,"81,228",2022-2023,30,34.0,16445,19889,82.7,290786,100043,7277,8180,89.0,6704,7585,88.4,1853,2872,64.5,61,51.9,50.6,9.1,423,1265,341,78,1628,2022-2023,30,34.0,81,558,219,39.2,16.41,6.44,0.14,0.35,16.6,20,4,6,71.1,66.5,0.12,9.9,10.5,2022-2023,30,25.8,58.2,34,374,"3,060",34.0,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48,2022-2023,2022-2023,Bundesliga,3.5920745724050875,0.0
Eint Frankfurt,28,34.0,562,357,244,248,70,265,585,45.3,320,415,88,327,284,846,687,5,2022-2023,2,34,34,"3,060",34.0,52,1.53,135,84,63.0,13,11,10,6,17.6,2,2,0,0,0.0,2022-2023,7,34,13,11,10,58,52,6,50,1.47,52.1,43.5,8.6,0.25,"50,100",2022-2023,28,34.0,13930,17975,77.5,240605,87723,6239,7247,86.1,6164,7319,84.2,1196,2423,49.4,33,36.2,40.1,-3.2,289,1003,263,64,1372,2022-2023,28,34.0,56,399,132,33.1,11.74,3.88,0.13,0.38,16.9,14,6,6,52.1,47.4,0.12,3.9,2.6,2022-2023,28,26.4,52.9,34,374,"3,060",34.0,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.6,1.39,2.46,2022-2023,2022-2023,Bundesliga,3.094972578013713,0.0
Freiburg,27,34.0,498,289,223,211,64,207,451,45.9,244,375,106,269,325,823,612,10,2022-2023,1,34,34,"3,060",34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0,2022-2023,5,34,17,8,9,51,44,7,59,1.74,47.9,48.8,-0.9,-0.03,"34,112",2022-2023,27,34.0,11653,15533,75.0,224503,85849,4532,5503,82.4,5212,6241,83.5,1565,2829,55.3,34,28.5,33.2,5.5,288,884,237,67,1039,2022-2023,27,34.0,51,412,167,40.5,12.12,4.91,0.11,0.26,17.1,16,7,8,47.9,41.6,0.11,3.1,2.4,2022-2023,27,27.4,48.1,34,374,"3,060",34.0,51,34,85,44,7,8,62,2,47.9,41.6,28.5,70.1,427,1039,1.5,1.0,2.5,1.29,2.29,1.41,0.84,2.25,1.22,2.06,2022-2023,2022-2023,Bundesliga,3.7127870792430437,0.0
Gladbach,27,34.0,497,275,274,171,52,267,536,49.8,269,405,104,301,267,764,728,7,2022-2023,4,34,34,"3,060",34.0,55,1.62,180,126,72.8,11,10,13,9,26.5,6,6,0,0,0.0,2022-2023,10,34,11,10,13,52,55,-3,43,1.26,52.1,53.4,-1.3,-0.04,"52,378",2022-2023,27,34.0,15516,18854,82.3,267610,95706,7012,7776,90.2,6828,7668,89.0,1280,2371,54.0,39,41.2,39.9,-2.2,327,885,247,50,1168,2022-2023,27,34.0,52,403,166,41.2,11.85,4.88,0.12,0.29,17.3,12,4,6,52.1,47.5,0.12,-0.1,0.5,2022-2023,27,26.8,53.7,34,374,"3,060",34.0,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,2.74,1.4,2.61,2022-2023,2022-2023,Bundesliga,3.7845058387615214,0.0
Hertha BSC,32,34.0,576,344,307,215,54,251,521,48.2,270,416,132,284,366,942,797,8,2022-2023,2,34,34,"3,060",34.0,69,2.03,170,100,62.4,7,8,19,3,8.8,6,5,1,0,16.7,2022-2023,18,34,7,8,19,42,69,-27,29,0.85,39.4,60.0,-20.5,-0.6,"53,670",2022-2023,32,34.0,8876,12800,69.3,165190,72608,3726,4615,80.7,3761,4869,77.2,1117,2467,45.3,23,25.3,26.7,-2.3,247,665,161,42,914,2022-2023,32,34.0,42,377,121,32.1,11.09,3.56,0.09,0.29,18.4,11,7,7,39.4,33.9,0.09,2.6,1.1,2022-2023,32,26.0,42.0,34,374,"3,060",34.0,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,1.9,1.0,1.74,2022-2023,2022-2023,Bundesliga,3.20839805925766,0.29922383136108516
Hoffenheim,31,34.0,543,323,254,231,58,236,474,49.8,238,428,119,309,285,828,665,8,2022-2023,1,34,34,"3,060",34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0,2022-2023,12,34,10,6,18,48,57,-9,36,1.06,48.0,51.1,-3.1,-0.09,"24,625",2022-2023,31,34.0,11754,15564,75.5,218184,88463,4941,5830,84.8,5108,6136,83.2,1405,2668,52.7,30,32.4,39.6,-2.4,294,928,260,77,1175,2022-2023,31,34.0,46,398,130,32.7,11.71,3.82,0.1,0.3,17.3,16,7,9,48.0,41.1,0.1,-2.0,-2.1,2022-2023,31,26.8,48.3,34,374,"3,060",34.0,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,2.36,1.21,2.16,2022-2023,2022-2023,Bundesliga,3.347638388582908,0.0
Köln,27,34.0,615,370,287,263,65,310,666,46.5,356,423,99,324,372,987,716,5,2022-2023,1,34,34,"3,060",34.0,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0,2022-2023,11,34,10,12,12,49,54,-5,42,1.24,47.9,42.6,5.3,0.16,"49,765",2022-2023,27,34.0,12242,16367,74.8,229690,84892,4634,5485,84.5,6017,7208,83.5,1352,2725,49.6,31,35.1,37.6,-4.1,307,840,259,84,1247,2022-2023,27,34.0,46,413,146,35.4,12.15,4.29,0.1,0.29,16.2,6,4,4,47.9,44.7,0.11,-1.9,-2.7,2022-2023,27,26.0,49.9,34,374,"3,060",34.0,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,2.44,1.32,2.35,2022-2023,2022-2023,Bundesliga,2.978931083678816,0.3218875824868201
Leverkusen,27,34.0,494,280,242,206,46,236,421,56.1,185,358,99,259,294,788,599,12,2022-2023,2,34,34,"3,059",34.0,49,1.44,146,99,71.2,14,8,12,9,26.5,7,7,0,0,0.0,2022-2023,6,34,14,8,12,57,49,8,50,1.47,51.4,42.8,8.6,0.25,"28,609",2022-2023,27,34.0,14683,18206,80.6,247352,87593,7075,8019,88.2,5908,6837,86.4,1279,2372,53.9,44,38.9,36.4,5.1,349,926,230,48,1243,2022-2023,27,34.0,57,432,160,37.0,12.71,4.71,0.12,0.33,17.4,16,5,7,51.4,46.0,0.11,5.6,6.0,2022-2023,27,24.7,52.0,34,374,"3,060",34.0,57,44,101,52,5,7,75,7,51.4,46.0,38.9,85.0,678,1243,1.68,1.29,2.97,1.53,2.82,1.51,1.15,2.66,1.35,2.5,2022-2023,2022-2023,Bundesliga,3.5531880017864603,0.0
Mainz 05,27,34.0,547,341,268,206,73,270,559,48.3,289,419,98,321,433,980,673,9,2022-2023,2,34,34,"3,060",34.0,55,1.62,153,95,66.7,12,10,12,7,20.6,8,4,3,1,42.9,2022-2023,9,34,12,10,12,54,55,-1,46,1.35,47.1,53.6,-6.5,-0.19,"29,070",2022-2023,27,34.0,10075,14492,69.5,186572,81107,4418,5434,81.3,4059,5270,77.0,1293,2828,45.7,35,30.0,33.8,5.0,278,872,270,80,1155,2022-2023,27,34.0,54,414,152,36.7,12.18,4.47,0.12,0.33,17.1,17,4,6,47.1,42.4,0.11,6.9,7.6,2022-2023,27,27.0,44.8,34,374,"3,060",34.0,54,35,89,50,4,6,69,1,47.1,42.4,30.0,72.4,364,1155,1.59,1.03,2.62,1.47,2.5,1.39,0.88,2.27,1.25,2.13,2022-2023,2022-2023,Bundesliga,3.359647385809891,0.690448864434229
RB Leipzig,25,34.0,534,312,237,231,66,253,512,49.4,259,428,94,334,310,844,552,3,2022-2023,3,34,34,"3,060",34.0,41,1.21,106,66,67.9,20,6,8,10,29.4,8,7,1,0,12.5,2022-2023,3,34,20,6,8,64,41,23,66,1.94,62.7,37.2,25.4,0.75,"45,961",2022-2023,25,34.0,16911,20529,82.4,297606,99659,7461,8392,88.9,7606,8572,88.7,1511,2537,59.6,39,43.2,48.2,-4.2,376,1237,320,53,1450,2022-2023,25,34.0,64,497,182,36.6,14.62,5.35,0.12,0.32,17.5,18,6,7,62.7,57.4,0.12,1.3,0.6,2022-2023,25,26.3,58.1,34,374,"3,060",34.0,64,39,103,58,6,7,69,2,62.7,57.4,43.2,100.6,599,1450,1.88,1.15,3.03,1.71,2.85,1.84,1.27,3.11,1.69,2.96,2022-2023,2022-2023,Bundesliga,3.172850778599634,0.25993019270997947
Schalke 04,35,34.0,542,329,240,246,56,253,551,45.9,298,397,110,287,306,848,723,12,2022-2023,2,34,34,"3,060",34.0,71,2.09,193,123,65.8,7,10,17,7,20.6,6,5,0,1,0.0,2022-2023,17,34,7,10,17,35,71,-36,31,0.91,39.6,57.1,-17.6,-0.52,"61,133",2022-2023,35,34.0,9234,13360,69.1,182759,80288,3511,4414,79.5,4162,5223,79.7,1331,2803,47.5,24,28.7,31.4,-4.7,282,698,250,110,934,2022-2023,35,34.0,32,421,123,29.2,12.38,3.62,0.07,0.23,17.7,19,4,5,39.6,35.9,0.09,-7.6,-7.9,2022-2023,35,27.5,46.0,34,374,"3,060",34.0,32,24,56,28,4,5,68,1,39.6,35.9,28.7,64.6,415,934,0.94,0.71,1.65,0.82,1.53,1.16,0.84,2.01,1.06,1.9,2022-2023,2022-2023,Bundesliga,3.4662506686636694,0.0
Stuttgart,30,34.0,528,316,255,207,66,268,524,51.1,256,421,113,308,308,836,666,10,2022-2023,2,34,34,"3,060",34.0,57,1.68,146,90,65.1,7,12,15,2,5.9,6,6,0,0,0.0,2022-2023,16,34,7,12,15,45,57,-12,33,0.97,47.6,45.2,2.4,0.07,"46,541",2022-2023,30,34.0,13460,16987,79.2,253792,92829,5463,6341,86.2,6101,7070,86.3,1637,2756,59.4,34,38.1,38.2,-4.1,361,970,260,78,1278,2022-2023,30,34.0,45,457,140,30.6,13.44,4.12,0.09,0.29,17.9,14,5,5,47.6,43.7,0.1,-2.6,-3.7,2022-2023,30,24.7,50.2,34,374,"3,060",34.0,45,34,79,40,5,5,72,5,47.6,43.7,38.1,81.7,609,1278,1.32,1.0,2.32,1.18,2.18,1.4,1.12,2.52,1.28,2.4,2022-2023,2022-2023,Bundesliga,3.2487716139929566,0.0
Union Berlin,28,34.0,494,278,217,216,61,239,525,45.5,286,356,101,255,262,756,704,6,2022-2023,2,34,34,"3,060",34.0,38,1.12,144,106,78.5,18,8,8,13,38.2,7,7,0,0,0.0,2022-2023,4,34,18,8,8,51,38,13,62,1.82,37.9,42.6,-4.7,-0.14,"21,822",2022-2023,28,34.0,10312,14418,71.5,197596,82612,4140,5021,82.5,4555,5629,80.9,1359,2892,47.0,38,25.9,30.5,12.1,272,878,255,115,1012,2022-2023,28,34.0,49,374,113,30.2,11.0,3.32,0.12,0.41,17.9,5,3,7,37.9,32.5,0.09,11.1,13.5,2022-2023,28,27.9,43.8,34,374,"3,060",34.0,49,38,87,46,3,7,65,2,37.9,32.5,25.9,58.4,375,1012,1.44,1.12,2.56,1.35,2.47,1.12,0.76,1.88,0.95,1.72,2022-2023,2022-2023,Bundesliga,3.906735987800151,0.0
Werder Bremen,25,34.0,595,349,269,273,53,300,617,48.6,317,371,103,268,321,916,789,7,2022-2023,2,34,34,"3,060",34.0,64,1.88,184,121,66.3,10,6,18,4,11.8,3,2,1,0,33.3,2022-2023,13,34,10,6,18,51,64,-13,36,1.06,41.1,52.9,-11.8,-0.35,"41,556",2022-2023,25,34.0,12443,16554,75.2,236998,93050,5048,6006,84.0,5399,6523,82.8,1688,3071,55.0,37,29.0,34.6,8.0,274,922,274,66,1140,2022-2023,25,34.0,50,363,136,37.5,10.68,4.0,0.12,0.33,17.9,18,5,6,41.1,36.4,0.1,8.9,8.6,2022-2023,25,27.4,49.3,34,374,"3,060",34.0,50,37,87,45,5,6,76,1,41.1,36.4,29.0,65.4,412,1140,1.47,1.09,2.56,1.32,2.41,1.21,0.85,2.06,1.07,1.92,2022-2023,2022-2023,Bundesliga,3.4610959120269293,0.36583789212648044
Wolfsburg,28,34.0,543,324,255,206,82,265,521,50.9,256,443,116,327,292,835,701,9,2022-2023,1,34,34,"3,060",34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0,2022-2023,8,34,13,10,11,57,48,9,49,1.44,51.3,51.3,0.0,0.0,"25,394",2022-2023,28,34.0,12571,16129,77.9,245765,94282,4610,5453,84.5,6097,7016,86.9,1638,2876,57.0,44,39.2,40.4,4.8,303,1009,272,67,1306,2022-2023,28,34.0,55,401,138,34.4,11.79,4.06,0.13,0.37,16.9,11,4,7,51.3,45.8,0.12,3.7,5.2,2022-2023,28,24.8,50.6,34,374,"3,060",34.0,55,44,99,51,4,7,63,0,51.3,45.8,39.2,84.9,455,1306,1.62,1.29,2.91,1.5,2.79,1.51,1.15,2.66,1.35,2.5,2022-2023,2022-2023,Bundesliga,3.5030458039086443,0.3218875824868201
Augsburg,29,34.0,528,319,234,222,72,237,492,48.2,255,439,133,306,295,823,727,9,2023-2024,2,34,34,"3,060",34.0,60,1.76,183,123,71.0,10,9,15,3,8.8,10,7,2,1,22.2,2023-2024,11,34,10,9,15,50,60,-10,39,1.15,46.1,57.4,-11.3,-0.33,"29,712",2023-2024,29,34.0,10545,14262,73.9,199672,80511,4147,4989,83.1,4851,5902,82.2,1272,2491,51.1,35,27.7,37.7,7.3,299,919,284,89,1137,2023-2024,29,34.0,49,429,123,28.7,12.62,3.62,0.1,0.36,17.5,12,5,7,46.1,40.7,0.1,2.9,3.3,2023-2024,29,26.0,43.9,34,374,"3,060",34.0,49,35,84,44,5,7,71,3,46.1,40.7,27.7,68.4,462,1137,1.44,1.03,2.47,1.29,2.32,1.36,0.81,2.17,1.2,2.01,2023-2024,2023-2024,Bundesliga,3.70260438790238,0.46163602225292355
Bayern Munich,30,34.0,520,323,227,191,102,245,510,48.0,265,378,81,297,288,808,473,18,2023-2024,3,34,34,"3,060",34.0,45,1.32,124,78,66.1,23,3,8,11,32.4,4,3,1,0,25.0,2023-2024,3,34,23,3,8,94,45,49,72,2.12,85.2,32.1,53.0,1.56,"75,000",2023-2024,30,34.0,19987,22946,87.1,340799,109694,9254,10094,91.7,8928,9742,91.6,1476,2208,66.8,71,65.9,72.8,5.1,506,1563,458,86,1941,2023-2024,30,34.0,93,633,229,36.2,18.62,6.74,0.14,0.38,15.7,13,5,5,85.2,81.3,0.13,7.8,6.7,2023-2024,30,27.4,61.3,34,374,"3,060",34.0,93,71,164,88,5,5,47,2,85.2,81.3,65.9,147.3,944,1941,2.74,2.09,4.82,2.59,4.68,2.5,1.94,4.44,2.39,4.33,2023-2024,2023-2024,Bundesliga,3.191515380356821,0.34657359027997264
Bochum,25,34.0,603,366,272,253,78,294,574,51.2,280,460,142,318,308,911,768,9,2023-2024,2,34,34,"3,060",34.0,74,2.18,189,117,65.6,7,12,15,4,11.8,11,9,2,0,18.2,2023-2024,16,34,7,12,15,42,74,-32,33,0.97,44.5,63.9,-19.3,-0.57,"25,393",2023-2024,25,34.0,9786,14203,68.9,185281,85808,4234,5278,80.2,3854,5032,76.6,1393,2934,47.5,30,30.4,33.0,-0.4,371,902,265,85,1151,2023-2024,25,34.0,41,524,145,27.7,15.41,4.26,0.07,0.26,18.2,18,4,4,44.5,41.4,0.08,-3.5,-4.4,2023-2024,25,29.1,46.6,34,374,"3,060",34.0,41,30,71,37,4,4,97,2,44.5,41.4,30.4,71.8,400,1151,1.21,0.88,2.09,1.09,1.97,1.31,0.89,2.2,1.22,2.11,2023-2024,2023-2024,Bundesliga,3.4420477913372785,0.41907048692491633
Darmstadt 98,32,34.0,560,323,303,197,60,285,583,48.9,298,400,137,263,317,877,707,19,2023-2024,2,34,34,"3,060",34.0,86,2.53,215,130,60.5,3,8,23,3,8.8,2,1,1,0,50.0,2023-2024,18,34,3,8,23,30,86,-56,17,0.5,32.3,73.1,-40.8,-1.2,"17,730",2023-2024,32,34.0,11807,15336,77.0,223927,86971,4830,5582,86.5,5247,6139,85.5,1494,2813,53.1,21,22.8,28.9,-1.8,302,873,226,65,1083,2023-2024,32,34.0,28,404,110,27.2,11.88,3.24,0.06,0.23,19.1,12,3,3,32.3,30.0,0.08,-4.3,-5.0,2023-2024,32,27.1,45.7,34,374,"3,060",34.0,28,21,49,25,3,3,83,4,32.3,30.0,22.8,52.8,437,1083,0.82,0.62,1.44,0.74,1.35,0.95,0.67,1.62,0.88,1.55,2023-2024,2023-2024,Bundesliga,3.2520434366489197,0.34657359027997264
Dortmund,32,34.0,548,356,297,201,50,292,557,52.4,265,431,121,310,251,799,628,12,2023-2024,2,34,34,"3,060",34.0,43,1.26,145,103,73.8,18,9,7,10,29.4,6,5,1,0,16.7,2023-2024,5,34,18,9,7,68,43,25,63,1.85,63.5,52.0,11.5,0.34,"81,305",2023-2024,32,34.0,17191,20445,84.1,300426,100507,7696,8552,90.0,7352,8202,89.6,1651,2584,63.9,49,45.6,48.0,3.4,389,1144,301,46,1452,2023-2024,32,34.0,68,506,184,36.4,14.88,5.41,0.12,0.34,16.9,17,6,6,63.5,58.8,0.12,4.5,3.2,2023-2024,32,26.8,57.8,34,374,"3,060",34.0,68,49,117,62,6,6,59,4,63.5,58.8,45.6,104.4,770,1452,2.0,1.44,3.44,1.82,3.26,1.87,1.34,3.21,1.73,3.07,2023-2024,2023-2024,Bundesliga,3.677901686820752,0.29922383136108516
Eint Frankfurt,34,34.0,602,359,282,240,80,293,548,53.5,255,424,99,325,302,904,704,12,2023-2024,2,34,34,"3,060",34.0,50,1.47,146,94,71.9,11,14,9,7,20.6,11,9,2,0,18.2,2023-2024,6,34,11,14,9,51,50,1,47,1.38,46.2,52.1,-5.9,-0.17,"56,900",2023-2024,34,34.0,15017,18809,79.8,260025,91225,6582,7496,87.8,6907,7959,86.8,1204,2409,50.0,36,34.1,38.5,1.9,292,1007,276,60,1305,2023-2024,34,34.0,48,402,139,34.6,11.82,4.09,0.11,0.33,16.4,11,2,3,46.2,44.4,0.11,1.8,1.6,2023-2024,34,25.3,52.1,34,374,"3,060",34.0,48,36,84,46,2,3,70,5,46.2,44.4,34.1,78.5,574,1305,1.41,1.06,2.47,1.35,2.41,1.36,1.0,2.36,1.31,2.31,2023-2024,2023-2024,Bundesliga,3.5881210298939115,0.41907048692491633
Freiburg,25,34.0,546,319,303,175,68,227,463,49.0,236,436,149,287,272,818,725,7,2023-2024,1,34,34,"3,060",34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,2023-2024,10,34,11,9,14,45,58,-13,42,1.24,49.4,50.5,-1.1,-0.03,"34,196",2023-2024,25,34.0,12337,16023,77.0,223388,83596,5228,6120,85.4,5515,6445,85.6,1296,2579,50.3,32,32.4,34.7,-0.4,296,936,246,81,1208,2023-2024,25,34.0,43,392,131,33.4,11.53,3.85,0.09,0.27,16.0,7,7,9,49.4,42.4,0.11,-6.4,-6.4,2023-2024,25,27.0,46.6,34,374,"3,060",34.0,43,32,75,36,7,9,64,4,49.4,42.4,32.4,74.8,468,1208,1.26,0.94,2.21,1.06,2.0,1.45,0.95,2.41,1.25,2.2,2023-2024,2023-2024,Bundesliga,3.304925539847591,0.5545177444479562
Gladbach,27,34.0,582,337,291,247,44,287,534,53.7,247,465,168,297,333,915,860,15,2023-2024,2,34,34,"3,060",34.0,67,1.97,207,140,70.5,7,13,14,4,11.8,6,6,0,0,0.0,2023-2024,14,34,7,13,14,56,67,-11,34,1.0,46.5,54.2,-7.8,-0.23,"51,371",2023-2024,27,34.0,13544,16946,79.9,232267,84618,6222,7073,88.0,5785,6704,86.3,1162,2210,52.6,43,35.5,37.3,7.5,374,801,261,83,1227,2023-2024,27,34.0,55,451,144,31.9,13.26,4.24,0.11,0.35,17.1,4,5,6,46.5,41.8,0.1,8.5,8.2,2023-2024,27,25.4,46.8,34,374,"3,060",34.0,55,43,98,50,5,6,66,2,46.5,41.8,35.5,77.4,598,1227,1.62,1.26,2.88,1.47,2.74,1.37,1.05,2.41,1.23,2.28,2023-2024,2023-2024,Bundesliga,3.762964346189429,0.0
